Module_ID,Quiz_name,count,viewed
44906,"Quiz: Quiz 04 - Data Structures, Modules, Docs and Testing (Attempt 4)",92,1615
44908,Quiz: Quiz 06 - Object Oriented Programming (Attempt 3),95,1792
44907,Quiz: Quiz 05 - Numpy and Matplotlib (Attempt 3),124,2678
44761,Quiz: Quiz 07 (Attempt 2),274,5822
44904,Quiz: Quiz 02 - Conditions and Loops (Attempt 3),96,1695
44903,"Quiz: Quiz 01 - Group AB, CD (Attempt 4)",89,1492
44905,Quiz: Quiz 03 - Functions - (Attempt 3) - all groups,76,1305
44760,Quiz: Quiz 07,476,10343
43741,Quiz: Quiz 06 - Object Oriented Programming (Attempt 2),70,1413
43740,Quiz: Quiz 06 - Object Oriented Programming,468,9730
43164,Quiz: Quiz 05 - Numpy and Matplotlib (Attempt 2),171,4404
43106,Quiz: Quiz 05 - Numpy and Matplotlib,475,10999
42867,"Quiz: Quiz 04 - Data Structures, Modules, Docs and Testing (Attempt 3)",10,214
42362,"Quiz: Quiz 04 - Data Structures, Modules, Docs and Testing (Attempt 2)",58,1160
42361,"Quiz: Quiz 04 - Data Structures, Modules, Docs and Testing",461,9426
41409,Quiz: Quiz 03 - Functions - CD (Attempt 2),8,134
41160,Quiz: Quiz 03 - Functions - AB (Attempt 2),47,927
39766,Quiz: Quiz 03 - Functions - CD,231,4884
39764,Quiz: Quiz 03 - Functions - AB,240,5182
37447,Quiz: Quiz 02 - Conditions and Loops (Attempt 2),76,1614
36700,Quiz: Quiz 02 - Conditions and Loops,476,10222
35979,"Quiz: Quiz 01 - Group AB, CD (Attempt 3)",7,151
35514,"Quiz: Quiz 01 - Group AB, CD (Attempt 2)",116,2808
34054,"Quiz: Quiz 01 - Group AB, CD",479,11439
